ANONYMIZED BUSINESS,QUANTITY,Total Sales,count,Cluster,Classified
Business-3b10,2,3660,2,2,High Value
Business-3b12,523,1062413,103,2,High Value
Business-3b15,16,45985,10,2,High Value
Business-3b1c,33,46275,21,2,High Value
Business-3b22,124,139400,118,2,High Value
Business-3b33,10,40210,7,2,High Value
Business-3b3c,56,74387,30,2,High Value
Business-3b49,3,2300,3,2,High Value
Business-3b67,6,8440,6,2,High Value
Business-3b95,43,15215,30,2,High Value
Business-3b9f,2,4310,2,2,High Value
Business-3ba8,65,161020,45,2,High Value
Business-3bad,37,92670,34,2,High Value
Business-3bb2,16,29790,12,2,High Value
Business-3bbc,729,1289425,213,2,High Value
Business-3bce,243,277747,188,2,High Value
Business-3bd4,341,643115,308,2,High Value
Business-3bdd,35,52675,12,2,High Value
Business-3be7,7,13110,7,2,High Value
Business-3bf0,1279,3514556,745,0,Low Value
Business-3bf4,309,596221,78,2,High Value
Business-3bfa,5,3240,3,2,High Value
Business-3c02,17,65923,17,2,High Value
Business-3c0e,15,24979,12,2,High Value
Business-3c3a,4,5775,4,2,High Value
Business-3c3c,25,41915,5,2,High Value
Business-3c55,79,171209,47,2,High Value
Business-3c5a,4,6290,4,2,High Value
Business-3c65,148,294197,111,2,High Value
Business-3c81,1,4190,1,2,High Value
Business-3c87,3,13140,3,2,High Value
Business-3c8e,152,187715,121,2,High Value
Business-3c92,263,553100,142,2,High Value
Business-3c97,5,16184,4,2,High Value
Business-3ca4,2,2790,2,2,High Value
Business-3ca9,1,2070,1,2,High Value
Business-3cac,267,449849,238,2,High Value
Business-3cb8,18,46709,17,2,High Value
Business-3ccf,231,464920,132,2,High Value
Business-3cd8,1,2850,1,2,High Value
Business-3cdf,177,451837,125,2,High Value
Business-3ce8,3,2340,2,2,High Value
Business-3cef,82,169941,70,2,High Value
Business-3cf8,48,111188,47,2,High Value
Business-3d0d,19,15080,15,2,High Value
Business-3d20,78,170810,11,2,High Value
Business-3d23,23,32215,20,2,High Value
Business-3d2c,3,2800,3,2,High Value
Business-3d4e,1,2020,1,2,High Value
Business-3d54,5,13430,5,2,High Value
Business-3d5b,232,522730,22,2,High Value
Business-3d6e,355,733338,255,2,High Value
Business-3d70,4,9165,3,2,High Value
Business-3d7c,5,9460,2,2,High Value
Business-3d8c,1176,3043778,747,0,Low Value
Business-3d9c,173,372225,31,2,High Value
Business-3d9d,235,566563,52,2,High Value
Business-3da5,11,23350,6,2,High Value
Business-3da8,3,6155,3,2,High Value
Business-3db1,641,1461279,125,2,High Value
Business-3dbf,77,122010,49,2,High Value
Business-3dc6,77,159510,15,2,High Value
Business-3dcf,17,34275,13,2,High Value
Business-3dd1,52,147720,19,2,High Value
Business-3dde,2,2680,1,2,High Value
Business-3de4,40,142450,2,2,High Value
Business-3df1,22,85960,14,2,High Value
Business-3dfc,1245,3773889,636,0,Low Value
Business-3e17,4,6920,1,2,High Value
Business-3e1f,5,1470,5,2,High Value
Business-3e22,1,1905,1,2,High Value
Business-3e2d,353,736636,155,2,High Value
Business-3e63,127,176250,114,2,High Value
Business-3e70,202,478669,182,2,High Value
Business-3e94,2,3430,1,2,High Value
Business-3e9b,10,18425,5,2,High Value
Business-3ea2,4,12170,4,2,High Value
Business-3ead,163,311375,121,2,High Value
Business-3ec8,26,49045,22,2,High Value
Business-3ecf,2,3740,2,2,High Value
Business-3ed4,1,6250,1,2,High Value
Business-3eda,68,100301,58,2,High Value
Business-3edd,972,2642928,565,0,Low Value
Business-3ee2,34,110122,32,2,High Value
Business-3eee,7,13280,4,2,High Value
Business-3ef6,527,931291,313,0,Low Value
Business-3f1b,5,16285,5,2,High Value
Business-3f38,7,21350,7,2,High Value
Business-3f6c,637,1699750,496,0,Low Value
Business-3f74,19,52666,14,2,High Value
Business-3f85,153,313009,146,2,High Value
Business-3f8b,5,11950,5,2,High Value
Business-3f90,231,480608,47,2,High Value
Business-3fa3,71,109631,66,2,High Value
Business-3fbd,7,11960,7,2,High Value
Business-3fbf,211,440510,145,2,High Value
Business-3fc8,28,58175,20,2,High Value
Business-3fca,199,406605,34,2,High Value
Business-3fd4,9,18900,5,2,High Value
Business-3fd8,558,1419960,314,0,Low Value
Business-3fed,2,3395,2,2,High Value
Business-3ff1,3,5010,1,2,High Value
Business-4018,5,8535,4,2,High Value
Business-401e,75,147552,65,2,High Value
Business-4027,121,375367,102,2,High Value
Business-4035,6,20080,6,2,High Value
Business-404b,2,4900,2,2,High Value
Business-404e,144,385672,34,2,High Value
Business-4051,189,370083,175,2,High Value
Business-4087,1120,2989681,338,0,Low Value
Business-408b,3,7395,3,2,High Value
Business-408e,8,15060,6,2,High Value
Business-409b,6,4605,5,2,High Value
Business-40a1,2,1290,1,2,High Value
Business-40a4,21,53342,21,2,High Value
Business-40aa,1,1425,1,2,High Value
Business-40c2,144,371734,72,2,High Value
Business-40ca,31,105008,25,2,High Value
Business-40cf,226,389200,207,2,High Value
Business-40de,9,19740,9,2,High Value
Business-40e9,27,91670,3,2,High Value
Business-40ec,14,44585,6,2,High Value
Business-4114,1,1585,1,2,High Value
Business-4121,1,1450,1,2,High Value
Business-4129,6,14735,3,2,High Value
Business-4133,1016,2817756,932,0,Low Value
Business-413b,1,3880,1,2,High Value
Business-414b,480,852800,13,2,High Value
Business-414c,298,743079,44,2,High Value
Business-4160,11,26980,7,2,High Value
Business-4165,9,34860,3,2,High Value
Business-418d,84,96210,56,2,High Value
Business-4196,4,9738,4,2,High Value
Business-41ac,182,348840,120,2,High Value
Business-41b0,3,8930,2,2,High Value
Business-41b7,34,49625,22,2,High Value
Business-41ba,7,2030,6,2,High Value
Business-41d8,1,2070,1,2,High Value
Business-41d9,47,89435,42,2,High Value
Business-41e7,2,9370,2,2,High Value
Business-41e9,2,180,1,2,High Value
Business-41eb,38,67120,8,2,High Value
Business-41f1,46,88630,46,2,High Value
Business-41f3,410,572500,330,2,High Value
Business-41f7,4,10050,4,2,High Value
Business-41fd,4,7760,1,2,High Value
Business-420f,352,665081,327,2,High Value
Business-4214,5,16000,4,2,High Value
Business-4219,718,1940179,296,0,Low Value
Business-422a,278,777541,179,2,High Value
Business-422f,6,14500,6,2,High Value
Business-4248,213,469846,135,2,High Value
Business-4249,11,29730,5,2,High Value
Business-425b,13,38595,13,2,High Value
Business-4262,5,24250,1,2,High Value
Business-426f,13,33440,6,2,High Value
Business-4277,39,148360,4,2,High Value
Business-4293,332,1126815,185,2,High Value
Business-4298,6,20805,3,2,High Value
Business-429d,15,17370,11,2,High Value
Business-429f,35,51630,7,2,High Value
Business-42b8,1,4340,1,2,High Value
Business-42bf,205,534681,153,2,High Value
Business-42cb,5,17000,5,2,High Value
Business-42cd,59,168330,14,2,High Value
Business-42d5,3,3240,2,2,High Value
Business-42d8,62,137385,57,2,High Value
Business-42d9,20,26945,19,2,High Value
Business-42df,190,412436,121,2,High Value
Business-4304,72,164780,58,2,High Value
Business-4305,1585,3994502,816,0,Low Value
Business-431d,4,5210,4,2,High Value
Business-432e,3,5490,2,2,High Value
Business-4330,1,1700,1,2,High Value
Business-4337,476,940063,123,2,High Value
Business-4342,236,438194,149,2,High Value
Business-4347,392,745631,39,2,High Value
Business-4349,72,65192,48,2,High Value
Business-434a,141,283030,12,2,High Value
Business-436b,13,27830,12,2,High Value
Business-4372,17,29806,11,2,High Value
Business-4376,2,3780,1,2,High Value
Business-437d,3,3558,3,2,High Value
Business-43a2,1,2650,1,2,High Value
Business-43ac,15,33810,10,2,High Value
Business-43af,34,33090,30,2,High Value
Business-43c3,972,2595872,655,0,Low Value
Business-43c5,3,12850,3,2,High Value
Business-43ce,535,1122808,149,2,High Value
Business-43df,44,77030,25,2,High Value
Business-43f5,53,145810,42,2,High Value
Business-43f8,682,1373247,421,0,Low Value
Business-43fe,1,1800,1,2,High Value
Business-4403,12,43790,2,2,High Value
Business-442b,1,1240,1,2,High Value
Business-4436,1,3185,1,2,High Value
Business-444c,6,8655,4,2,High Value
Business-444d,22,31735,15,2,High Value
Business-4454,232,686898,32,2,High Value
Business-445e,1,6180,1,2,High Value
Business-445f,8,3835,7,2,High Value
Business-4477,9,4515,9,2,High Value
Business-447a,2,11340,2,2,High Value
Business-447e,302,746169,289,2,High Value
Business-448b,30,61320,28,2,High Value
Business-448d,46,42354,24,2,High Value
Business-4490,329,749280,63,2,High Value
Business-4492,8,6730,3,2,High Value
Business-4498,372,724866,106,2,High Value
Business-44a4,18,33210,5,2,High Value
Business-44a9,2,3340,2,2,High Value
Business-44c6,139,192803,108,2,High Value
Business-44f1,47,101140,28,2,High Value
Business-44f3,1,4020,1,2,High Value
Business-44fb,2,1890,2,2,High Value
Business-4503,129,193585,18,2,High Value
Business-450d,479,774090,375,0,Low Value
Business-4518,4,9840,2,2,High Value
Business-452a,56,174236,38,2,High Value
Business-453b,3,7670,2,2,High Value
Business-4547,6,14640,6,2,High Value
Business-4548,2,2725,2,2,High Value
Business-455c,1,1770,1,2,High Value
Business-457d,1247,3226488,421,0,Low Value
Business-4598,22,45320,14,2,High Value
Business-45af,195,482810,69,2,High Value
Business-45b4,5,9570,5,2,High Value
Business-45be,14,39255,14,2,High Value
Business-45c0,122,245965,22,2,High Value
Business-45cd,12,24295,9,2,High Value
Business-4601,182,471837,150,2,High Value
Business-4608,637,1692624,268,0,Low Value
Business-4611,35,51495,20,2,High Value
Business-4624,4,7500,4,2,High Value
Business-4626,2,1175,2,2,High Value
Business-4633,23,57723,22,2,High Value
Business-463e,9,15375,9,2,High Value
Business-4651,229,522995,90,2,High Value
Business-4661,152,313240,85,2,High Value
Business-4689,2,3970,2,2,High Value
Business-468e,5452,12554997,788,1,Medium Value
Business-46a2,100,153400,2,2,High Value
Business-46a5,4,3000,2,2,High Value
Business-46c6,12,13580,10,2,High Value
Business-46c7,9,16620,4,2,High Value
Business-46d5,6,9660,2,2,High Value
Business-46d8,192,292383,70,2,High Value
Business-46dc,551,1060635,230,2,High Value
Business-46e0,1,6187,1,2,High Value
Business-46ef,85,229650,10,2,High Value
Business-46f4,164,276276,95,2,High Value
Business-470a,526,1275777,225,2,High Value
Business-4714,101,174083,89,2,High Value
Business-4721,4,5810,4,2,High Value
Business-4724,48,137730,6,2,High Value
Business-4744,4,3305,4,2,High Value
Business-4758,33,62635,29,2,High Value
Business-4765,10,17875,7,2,High Value
Business-476c,336,518883,295,2,High Value
Business-476e,5,6350,4,2,High Value
Business-4774,2,2930,2,2,High Value
Business-4788,24,37682,19,2,High Value
Business-4794,4,2230,3,2,High Value
Business-479b,90,128505,7,2,High Value
Business-47c5,9,17420,5,2,High Value
Business-47c7,20,38385,16,2,High Value
Business-47d6,4,7000,1,2,High Value
Business-47f8,96,104250,81,2,High Value
Business-47fa,581,2065559,151,2,High Value
Business-4804,699,1237498,281,0,Low Value
Business-4808,16,46683,14,2,High Value
Business-4827,202,460694,154,2,High Value
Business-483f,638,2215485,312,0,Low Value
Business-4846,857,2269448,376,0,Low Value
Business-488a,28,22665,20,2,High Value
Business-4891,4,19900,4,2,High Value
Business-48a1,100,354010,16,2,High Value
Business-48a7,1,3330,1,2,High Value
Business-48bf,1,2040,1,2,High Value
Business-48c3,55,99765,31,2,High Value
Business-48c4,21,20890,11,2,High Value
Business-48cb,5,16530,2,2,High Value
Business-48d2,1,4020,1,2,High Value
Business-48e9,14,27316,14,2,High Value
Business-48f4,15,37920,14,2,High Value
Business-48f6,1593,3908976,774,0,Low Value
Business-4918,105,220965,13,2,High Value
Business-4919,248,130781,116,2,High Value
Business-4920,5,27000,1,2,High Value
Business-4925,544,1123759,118,2,High Value
Business-4929,9,35670,4,2,High Value
Business-492a,12,13849,10,2,High Value
Business-492e,46,91680,24,2,High Value
Business-4952,515,1118618,158,2,High Value
Business-496a,12,15080,12,2,High Value
Business-4982,4,10050,2,2,High Value
Business-4998,2,3360,2,2,High Value
Business-49a5,6,18920,3,2,High Value
Business-49b9,20,55297,20,2,High Value
Business-49be,41,64835,28,2,High Value
Business-49c2,483,929543,371,0,Low Value
Business-49c5,18,31980,2,2,High Value
Business-49e0,10,20700,1,2,High Value
Business-49e7,752,1735137,405,0,Low Value
Business-49e8,6,16200,5,2,High Value
Business-49f6,9,24350,9,2,High Value
Business-4a01,37,62395,20,2,High Value
Business-4a09,35,119950,5,2,High Value
Business-4a11,126,248205,122,2,High Value
Business-4a1c,1084,2690945,74,0,Low Value
Business-4a48,19,43940,17,2,High Value
Business-4a5d,115,211433,84,2,High Value
Business-4a5e,1,1290,1,2,High Value
Business-4a60,1,1510,1,2,High Value
Business-4a62,5,17220,5,2,High Value
Business-4a6d,243,559385,136,2,High Value
Business-4a70,56,183030,20,2,High Value
Business-4a8e,33,37901,29,2,High Value
Business-4a9b,3,18085,3,2,High Value
Business-4aa3,4,6650,4,2,High Value
Business-4ac4,527,1135487,336,0,Low Value
Business-4ad9,19,32130,12,2,High Value
Business-4ae8,28,51790,3,2,High Value
Business-4af0,117,272016,100,2,High Value
Business-4af3,1,5990,1,2,High Value
Business-4afb,124,249534,114,2,High Value
Business-4b07,54,110895,45,2,High Value
Business-4b0d,15,47570,13,2,High Value
Business-4b1e,48,73240,47,2,High Value
Business-4b2d,35,52460,31,2,High Value
Business-4b3b,2,6140,2,2,High Value
Business-4b4c,1,3880,1,2,High Value
Business-4b76,38,67295,36,2,High Value
Business-4b87,5,10,1,2,High Value
Business-4b8b,2,5210,2,2,High Value
Business-4b8d,106,358501,43,2,High Value
Business-4b8e,2,2840,2,2,High Value
Business-4b91,444,1056501,338,0,Low Value
Business-4b92,7,12000,6,2,High Value
Business-4ba1,3,4925,2,2,High Value
Business-4bbb,1307,2827505,357,0,Low Value
Business-4bc3,56,132282,36,2,High Value
Business-4bc8,113,305200,98,2,High Value
Business-4be1,399,851429,98,2,High Value
Business-4bfc,25,53640,8,2,High Value
Business-4c0b,3,6740,3,2,High Value
Business-4c1b,22,41800,1,2,High Value
Business-4c1f,42,120732,34,2,High Value
Business-4c26,88,110842,78,2,High Value
Business-4c46,36,76340,4,2,High Value
Business-4c49,1,1770,1,2,High Value
Business-4c5e,341,939373,99,2,High Value
Business-4c6e,106,219870,93,2,High Value
Business-4c82,29,49330,5,2,High Value
Business-4c9e,59,127981,56,2,High Value
Business-4ca8,4,7840,3,2,High Value
Business-4caa,37,59470,33,2,High Value
Business-4cad,213,324504,175,2,High Value
Business-4ce8,2,1500,1,2,High Value
Business-4cf4,2,8720,1,2,High Value
Business-4d0a,159,223090,130,2,High Value
Business-4d0b,8,4435,7,2,High Value
Business-4d1a,153,296515,145,2,High Value
Business-4d1b,422,896900,69,2,High Value
Business-4d2a,142,278800,134,2,High Value
Business-4d3c,90,180652,65,2,High Value
Business-4d45,7,19880,7,2,High Value
Business-4d4c,6,6063,6,2,High Value
Business-4d57,2,4370,2,2,High Value
Business-4d5a,46,138495,46,2,High Value
Business-4d5c,275,839749,154,2,High Value
Business-4d69,686,1442308,116,2,High Value
Business-4d6c,19,57270,4,2,High Value
Business-4d8e,225,409880,27,2,High Value
Business-4d9c,446,1091693,408,0,Low Value
Business-4d9d,6,18000,6,2,High Value
Business-4da5,1,4270,1,2,High Value
Business-4dd6,398,867104,74,2,High Value
Business-4e15,2,3460,2,2,High Value
Business-4e1b,4,6395,4,2,High Value
Business-4e24,40,33825,38,2,High Value
Business-4e2c,1,1420,1,2,High Value
Business-4e36,6,16882,5,2,High Value
Business-4e4c,37,60155,33,2,High Value
Business-4e50,2,12700,2,2,High Value
Business-4e67,1,4440,1,2,High Value
Business-4e69,226,379474,183,2,High Value
Business-4e7f,4,8805,4,2,High Value
Business-4e82,22,54230,7,2,High Value
Business-4e8a,1,1260,1,2,High Value
Business-4e8c,4,6965,4,2,High Value
Business-4e94,193,384970,56,2,High Value
Business-4eea,457,822222,381,0,Low Value
Business-4ef7,4,9840,3,2,High Value
Business-4f2d,89,176574,71,2,High Value
Business-4f3f,45,75975,41,2,High Value
Business-4f41,128,281840,31,2,High Value
Business-4f4c,273,517500,45,2,High Value
Business-4f53,449,864025,165,2,High Value
Business-4f5f,97,211358,15,2,High Value
Business-4f89,7,17230,6,2,High Value
Business-4fb5,17,77870,7,2,High Value
Business-4fbd,83,90495,74,2,High Value
Business-4fc2,2,5130,2,2,High Value
Business-4fcb,243,614800,58,2,High Value
Business-4fce,72,204480,64,2,High Value
Business-4fd5,3,9170,3,2,High Value
Business-4fd6,9,17760,5,2,High Value
Business-4fdb,166,197217,145,2,High Value
Business-4fe6,12,28970,3,2,High Value
Business-4fee,2036,4047934,1290,0,Low Value
Business-4ff2,631,1233366,133,2,High Value
Business-4ffe,224,350680,156,2,High Value
Business-500d,25,69650,4,2,High Value
Business-5017,1,1210,1,2,High Value
Business-5020,3,4570,3,2,High Value
Business-5029,28,58684,24,2,High Value
Business-502a,2,5210,2,2,High Value
Business-5035,6,8210,6,2,High Value
Business-5038,6,16335,6,2,High Value
Business-504d,8,21270,8,2,High Value
Business-5088,355,592861,318,2,High Value
Business-509c,2,9770,2,2,High Value
Business-509d,31,40555,29,2,High Value
Business-50b4,70,156030,20,2,High Value
Business-50b5,708,1558324,257,0,Low Value
Business-50b6,399,838755,325,2,High Value
Business-50ba,35,62536,35,2,High Value
Business-50f6,14,23625,11,2,High Value
Business-50fe,7,5148,7,2,High Value
Business-5109,23,43610,3,2,High Value
Business-5116,5,11840,3,2,High Value
Business-511b,6,16425,2,2,High Value
Business-5124,8,19605,6,2,High Value
Business-5132,1,1860,1,2,High Value
Business-513d,84,260606,12,2,High Value
Business-5162,62,160586,46,2,High Value
Business-5166,3,270,2,2,High Value
Business-516f,13,24223,13,2,High Value
Business-5172,35,68894,18,2,High Value
Business-5176,12,34000,9,2,High Value
Business-517a,9,15520,8,2,High Value
Business-5188,26,58421,23,2,High Value
Business-51a9,27,44160,14,2,High Value
Business-51aa,5,5085,5,2,High Value
Business-51ac,7,18333,5,2,High Value
Business-51c0,14,23665,13,2,High Value
Business-51cb,393,1085760,34,2,High Value
Business-51e9,834,1671803,464,0,Low Value
Business-51ef,1,2755,1,2,High Value
Business-5200,7,11360,6,2,High Value
Business-5207,52,69297,46,2,High Value
Business-522f,86,177945,20,2,High Value
Business-5233,3,10510,2,2,High Value
Business-523d,7,6255,7,2,High Value
Business-525d,5,13240,2,2,High Value
Business-5293,141,247952,139,2,High Value
Business-529a,28,39705,10,2,High Value
Business-52a1,59,111815,38,2,High Value
Business-52ac,38,60481,36,2,High Value
Business-52ad,2,3190,2,2,High Value
Business-52d7,241,381960,186,2,High Value
Business-52d9,5,7558,4,2,High Value
Business-52ee,13,33194,10,2,High Value
Business-52f3,61,127050,40,2,High Value
Business-52fa,918,2493946,298,0,Low Value
Business-5300,12,51250,7,2,High Value
Business-5311,47,93700,26,2,High Value
Business-5319,162,408656,127,2,High Value
Business-5327,240,474163,49,2,High Value
Business-5342,1,6535,1,2,High Value
Business-536d,30,63610,25,2,High Value
Business-5378,55,98983,47,2,High Value
Business-5381,35,21040,24,2,High Value
Business-5384,1,4100,1,2,High Value
Business-5389,26,60965,17,2,High Value
Business-53a2,14,23410,10,2,High Value
Business-53ab,11,14740,11,2,High Value
Business-53b0,2,3500,1,2,High Value
Business-53e1,38,74785,30,2,High Value
Business-5407,305,577669,215,2,High Value
Business-5415,1272,2653930,871,0,Low Value
Business-5425,2,8040,2,2,High Value
Business-5430,15,36230,14,2,High Value
Business-5434,5,11000,1,2,High Value
Business-5435,197,355486,61,2,High Value
Business-5440,14,26880,9,2,High Value
Business-5442,92,179863,34,2,High Value
Business-5457,3,8320,3,2,High Value
Business-5459,1,5785,1,2,High Value
Business-545d,403,523906,284,2,High Value
Business-5474,18,40365,13,2,High Value
Business-5477,2596,6299107,596,0,Low Value
Business-5483,14,56080,3,2,High Value
Business-5494,345,625265,64,2,High Value
Business-5495,7,16685,7,2,High Value
Business-5499,24,40781,23,2,High Value
Business-54a9,12,17720,7,2,High Value
Business-54aa,1,1710,1,2,High Value
Business-54ac,112,205905,111,2,High Value
Business-54ad,244,676830,55,2,High Value
Business-54af,1,450,1,2,High Value
Business-54b3,8,13780,8,2,High Value
Business-54c4,1,3400,1,2,High Value
Business-54c5,169,215485,102,2,High Value
Business-54ea,2,7740,2,2,High Value
Business-54f5,30,49765,21,2,High Value
Business-54fa,3,8830,3,2,High Value
Business-550c,96,184010,63,2,High Value
Business-5525,955,2434780,164,0,Low Value
Business-552a,81,159025,7,2,High Value
Business-5539,36,105160,22,2,High Value
Business-553e,354,558677,347,2,High Value
Business-5544,6,26645,6,2,High Value
Business-5570,1,1880,1,2,High Value
Business-557b,79,130263,38,2,High Value
Business-557c,3,3530,3,2,High Value
Business-557e,391,1414529,111,2,High Value
Business-5597,23,44610,3,2,High Value
Business-55aa,4,6060,4,2,High Value
Business-55b8,11,10150,6,2,High Value
Business-55d1,17,17455,14,2,High Value
Business-55d4,96,108400,74,2,High Value
Business-55d5,23,46715,22,2,High Value
Business-55f8,1,6800,1,2,High Value
Business-5600,113,273960,59,2,High Value
Business-5601,62,159110,50,2,High Value
Business-5608,60,145529,48,2,High Value
Business-5611,10,14665,10,2,High Value
Business-5613,4089,11895552,691,1,Medium Value
Business-5620,1,1540,1,2,High Value
Business-5623,2,4080,2,2,High Value
Business-563a,4,18430,4,2,High Value
Business-5646,6,9490,3,2,High Value
Business-5661,162,585753,108,2,High Value
Business-566a,21,29970,16,2,High Value
Business-5677,776,1982950,605,0,Low Value
Business-567a,66,117527,59,2,High Value
Business-567e,7,8810,6,2,High Value
Business-5685,114,239991,104,2,High Value
Business-5689,28,56190,23,2,High Value
Business-56aa,8,18665,7,2,High Value
Business-56dc,14,39380,11,2,High Value
Business-5700,69,148473,68,2,High Value
Business-570e,3,285,2,2,High Value
Business-5722,2,5120,1,2,High Value
Business-573a,6,7125,5,2,High Value
Business-574f,7,40041,7,2,High Value
Business-5751,2,2730,1,2,High Value
Business-5754,422,679090,161,2,High Value
Business-575f,4,9690,3,2,High Value
Business-5760,47,58330,33,2,High Value
Business-5777,5,9650,5,2,High Value
Business-5780,327,710445,261,2,High Value
Business-5788,4,9250,2,2,High Value
Business-5791,6,18370,2,2,High Value
Business-57c5,5,5600,4,2,High Value
Business-57e3,3,8980,3,2,High Value
Business-57f0,185,416470,100,2,High Value
Business-57ff,66,72909,42,2,High Value
Business-5809,37,64520,25,2,High Value
Business-5810,62,98387,32,2,High Value
Business-5823,32,55268,25,2,High Value
Business-5827,2,4596,2,2,High Value
Business-5829,437,779739,160,2,High Value
Business-582f,21,51290,13,2,High Value
Business-5830,3,6340,3,2,High Value
Business-583a,9,12755,9,2,High Value
Business-5840,242,282700,32,2,High Value
Business-5842,35,88600,35,2,High Value
Business-585d,196,360725,96,2,High Value
Business-585e,7,25250,3,2,High Value
Business-586b,65,126975,34,2,High Value
Business-587a,4,15520,2,2,High Value
Business-58a4,15,25735,15,2,High Value
Business-58a8,254,463553,199,2,High Value
Business-58a9,28,145055,4,2,High Value
Business-58d9,254,401581,197,2,High Value
Business-58e3,2,11180,2,2,High Value
Business-58f1,433,1147620,94,2,High Value
Business-58fe,45,150515,42,2,High Value
Business-5915,3,4845,3,2,High Value
Business-593c,106,252126,96,2,High Value
Business-5943,11,48025,4,2,High Value
Business-5947,13,26240,13,2,High Value
Business-5948,12,43530,4,2,High Value
Business-5953,78,176841,61,2,High Value
Business-5957,30,58550,2,2,High Value
Business-595c,20,47265,13,2,High Value
Business-595e,4,13890,3,2,High Value
Business-595f,52,144940,37,2,High Value
Business-5960,16,38660,8,2,High Value
Business-596f,42,103485,29,2,High Value
Business-5973,16,22720,16,2,High Value
Business-598a,337,832870,93,2,High Value
Business-598d,250,499080,45,2,High Value
Business-5999,190,643554,67,2,High Value
Business-59a0,1107,2867093,277,0,Low Value
Business-59a4,8,15245,8,2,High Value
Business-59b6,1,4190,1,2,High Value
Business-59c1,243,520457,232,2,High Value
Business-59d2,2,2850,2,2,High Value
Business-59e8,34,45605,8,2,High Value
Business-59ea,9,15840,2,2,High Value
Business-59ed,164,311706,156,2,High Value
Business-5a29,143,545772,49,2,High Value
Business-5a2a,32,82388,30,2,High Value
Business-5a47,6,12350,6,2,High Value
Business-5a62,845,2224386,359,0,Low Value
Business-5a63,42,58966,33,2,High Value
Business-5a76,2,8520,2,2,High Value
Business-5a91,48,97910,4,2,High Value
Business-5aa4,707,2215021,381,0,Low Value
Business-5aaf,6,9795,6,2,High Value
Business-5ac3,147,378965,29,2,High Value
Business-5ace,29,52990,27,2,High Value
Business-5b02,222,622423,172,2,High Value
Business-5b07,116,363533,62,2,High Value
Business-5b0f,7,11385,7,2,High Value
Business-5b15,1,1665,1,2,High Value
Business-5b19,1,1445,1,2,High Value
Business-5b40,4,9590,2,2,High Value
Business-5b5f,27,40424,14,2,High Value
Business-5b6f,79,146120,50,2,High Value
Business-5b82,23,58405,17,2,High Value
Business-5b9e,6,17345,4,2,High Value
Business-5ba6,104,78808,77,2,High Value
Business-5bac,455,1068473,62,2,High Value
Business-5bb6,651,1464152,246,0,Low Value
Business-5bd2,4,9075,4,2,High Value
Business-5be4,42,82080,32,2,High Value
Business-5bf2,3,5700,3,2,High Value
Business-5bf6,290,685216,223,2,High Value
Business-5c29,5,9950,1,2,High Value
Business-5c2e,57,203547,54,2,High Value
Business-5c47,125,145556,97,2,High Value
Business-5c4d,2,2440,2,2,High Value
Business-5c56,626,1545592,312,0,Low Value
Business-5c59,17,17330,17,2,High Value
Business-5c5f,25,55885,11,2,High Value
Business-5c61,1,750,1,2,High Value
Business-5c6b,277,470997,142,2,High Value
Business-5c6c,234,476385,141,2,High Value
Business-5c71,19,25400,19,2,High Value
Business-5c89,2,3070,2,2,High Value
Business-5c8b,2,8665,2,2,High Value
Business-5c98,1,6346,1,2,High Value
Business-5c9f,7,13818,7,2,High Value
Business-5ca7,303,633180,165,2,High Value
Business-5cac,139,261697,126,2,High Value
Business-5cbb,16,64535,16,2,High Value
Business-5cc4,34,45355,32,2,High Value
Business-5cc9,312,724623,52,2,High Value
Business-5cec,11,43780,11,2,High Value
Business-5cef,122,347712,27,2,High Value
Business-5cf4,258,644421,67,2,High Value
Business-5cfa,13,17735,13,2,High Value
Business-5cfe,84,134425,78,2,High Value
Business-5d02,202,609316,156,2,High Value
Business-5d0f,6,19670,4,2,High Value
Business-5d3d,8,20885,3,2,High Value
Business-5d3e,505,1118975,102,2,High Value
Business-5d41,296,724687,68,2,High Value
Business-5d58,1,4060,1,2,High Value
Business-5d75,10,31971,10,2,High Value
Business-5d7e,26,50667,20,2,High Value
Business-5d91,1,90,1,2,High Value
Business-5da0,582,866430,104,2,High Value
Business-5da8,2,1900,2,2,High Value
Business-5dcb,7,18050,5,2,High Value
Business-5dcf,19,51105,11,2,High Value
Business-5de0,356,669643,272,2,High Value
Business-5de9,1420,2700411,521,0,Low Value
Business-5dfe,240,394770,28,2,High Value
Business-5e1d,253,423079,250,2,High Value
Business-5e3e,2,3040,1,2,High Value
Business-5e4f,88,138140,74,2,High Value
Business-5e51,7,13485,6,2,High Value
Business-5e9e,13,10570,3,2,High Value
Business-5ea8,156,331100,102,2,High Value
Business-5ebd,94,168867,93,2,High Value
Business-5ecd,3,4873,3,2,High Value
Business-5ecf,5,16515,5,2,High Value
Business-5ed4,25,34291,24,2,High Value
Business-5ed6,7,8004,5,2,High Value
Business-5eec,15,11707,6,2,High Value
Business-5ef1,643,1447023,121,2,High Value
Business-5ef5,7,27765,4,2,High Value
Business-5efe,112,188239,102,2,High Value
Business-5f13,1,2675,1,2,High Value
Business-5f20,20,60201,16,2,High Value
Business-5f23,20,48005,12,2,High Value
Business-5f26,6,14490,6,2,High Value
Business-5f31,2,4080,1,2,High Value
Business-5f36,1316,3560934,189,0,Low Value
Business-5f3a,12,20360,10,2,High Value
